Processed At,Invoice Date,Invoice Number,Document Type,Seller Name,Seller Tax ID,Expense Category,Item #,Line Type,Description,Quantity,Unit Price,Amount,Subtotal,VAT 7%,Grand Total,Image URL,Confidence,UID,User
2025-01-17 08:45:22,2025-01-17,INV-2501-0046,Tax Invoice,ปตท.,0105530020022,Travel,1,product,น้ำมันดีเซล B7,45,31.94,1437.30,1437.30,100.61,1537.91,https://drive.google.com/file/d/sample46,0.96,U9876543210,Alice
2025-01-17 11:20:11,2025-01-17,INV-2501-0047,Receipt,แดรี่ควีน,0105538067890,Food,1,product,ไอศกรีม Blizzard,1,89,89,89,6.23,95.23,https://drive.google.com/file/d/sample47,0.88,U1234567890,Bobby
2025-01-17 14:45:00,2025-01-17,INV-2501-0048,Tax Invoice,ดีเอชแอล,0105540078901,Office,1,service,ค่าส่งพัสดุต่างประเทศ,1,1500,1500,1500,105.00,1605.00,https://drive.google.com/file/d/sample48,0.95,U1234567890,Bobby
2025-01-18 09:30:33,2025-01-18,INV-2501-0049,Tax Invoice,เฟดเอ็กซ์,0105542089012,Office,1,service,ค่าส่งพัสดุด่วน,1,850,850,850,59.50,909.50,https://drive.google.com/file/d/sample49,0.94,U9876543210,Alice
2025-01-18 12:00:45,2025-01-18,INV-2501-0050,Receipt,บาร์บีคิว พลาซ่า,0105545012345,Food,1,product,ชุดปิ้งย่าง,2,399,798,798,55.86,853.86,https://drive.google.com/file/d/sample50,0.91,U1234567890,Bobby
2025-01-18 15:30:22,2025-01-18,INV-2501-0051,Tax Invoice,อิเกีย,0105548023456,Office,1,product,ชั้นวางของ,2,990,1980,2480,173.60,2653.60,https://drive.google.com/file/d/sample51,0.95,U1234567890,Bobby
2025-01-18 15:30:22,2025-01-18,INV-2501-0051,Tax Invoice,อิเกีย,0105548023456,Office,2,product,กล่องเก็บของ,5,100,500,2480,173.60,2653.60,https://drive.google.com/file/d/sample51,0.95,U1234567890,Bobby
2025-01-19 08:15:11,2025-01-19,INV-2501-0052,Tax Invoice,เอสโซ่,0105529034567,Travel,1,product,น้ำมัน Supergasohol,30,36.94,1108.20,1108.20,77.57,1185.77,https://drive.google.com/file/d/sample52,0.96,U9876543210,Alice
2025-01-19 11:45:00,2025-01-19,INV-2501-0053,Receipt,ฟูจิ,0105547045678,Food,1,product,ซูชิเซ็ต,1,359,359,359,25.13,384.13,https://drive.google.com/file/d/sample53,0.90,U1234567890,Bobby
2025-01-19 14:30:33,2025-01-19,INV-2501-0054,Tax Invoice,โกลด์ซิตี้,0105537056789,Marketing,1,product,ป้ายโฆษณา,5,800,4000,4000,280.00,4280.00,https://drive.google.com/file/d/sample54,0.93,U1234567890,Bobby
2025-01-20 09:00:22,2025-01-20,INV-2501-0055,Tax Invoice,ไลน์,0105558067890,Marketing,1,service,LINE Official Account,1,2000,2000,2000,140.00,2140.00,https://drive.google.com/file/d/sample55,0.97,U9876543210,Alice
2025-01-20 12:20:11,2025-01-20,INV-2501-0056,Receipt,แซลมอน ซาชิมิ,1357924680123,Food,1,product,ข้าวหน้าปลาดิบ,1,199,199,199,13.93,212.93,https://drive.google.com/file/d/sample56,0.89,U1234567890,Bobby
2025-01-20 15:45:45,2025-01-20,INV-2501-0057,Tax Invoice,อะเมซอน,0105556078901,Food,1,product,กาแฟ Amazon,3,50,150,270,18.90,288.90,https://drive.google.com/file/d/sample57,0.92,U1234567890,Bobby
2025-01-20 15:45:45,2025-01-20,INV-2501-0057,Tax Invoice,อะเมซอน,0105556078901,Food,2,product,เค้กช็อกโกแลต,2,60,120,270,18.90,288.90,https://drive.google.com/file/d/sample57,0.92,U1234567890,Bobby
2025-01-21 08:30:00,2025-01-21,INV-2501-0058,Tax Invoice,ปตท. สาขาสุขุมวิท,0105530020022,Travel,1,product,น้ำมัน UltraForce,20,39.94,798.80,798.80,55.92,854.72,https://drive.google.com/file/d/sample58,0.97,U9876543210,Alice
2025-01-21 11:15:33,2025-01-21,INV-2501-0059,Receipt,แมคโดนัลด์,0105537045678,Food,1,product,ชุด McValue,1,119,119,119,8.33,127.33,https://drive.google.com/file/d/sample59,0.88,U1234567890,Bobby
2025-01-21 14:00:22,2025-01-21,INV-2501-0060,Tax Invoice,แคนนอน,0105532089012,Office,1,product,เครื่องพิมพ์,1,4990,4990,4990,349.30,5339.30,https://drive.google.com/file/d/sample60,0.96,U1234567890,Bobby
2025-01-22 09:45:11,2025-01-22,INV-2501-0061,Tax Invoice,เอปสัน,0105534012345,Office,1,product,หมึกพิมพ์ Original,4,650,2600,2600,182.00,2782.00,https://drive.google.com/file/d/sample61,0.95,U9876543210,Alice
2025-01-22 12:30:00,2025-01-22,INV-2501-0062,Receipt,พิซซ่า คอมปะนี,0105543023456,Food,1,product,พิซซ่า ซีฟู้ด,1,349,349,349,24.43,373.43,https://drive.google.com/file/d/sample62,0.90,U1234567890,Bobby
2025-01-22 16:15:45,2025-01-22,INV-2501-0063,Tax Invoice,3BB,0105549034567,Utilities,1,service,ค่าอินเทอร์เน็ต,1,599,599,599,41.93,640.93,https://drive.google.com/file/d/sample63,0.97,U1234567890,Bobby
2025-01-23 08:00:33,2025-01-23,INV-2501-0064,Tax Invoice,ค่าทางด่วน,0994000123456,Travel,1,service,ค่าทางด่วน M-Pass,1,250,250,250,17.50,267.50,https://drive.google.com/file/d/sample64,0.94,U9876543210,Alice
2025-01-23 11:30:22,2025-01-23,INV-2501-0065,Receipt,เชสเตอร์,0105546045678,Food,1,product,ไก่ย่าง,1,159,159,159,11.13,170.13,https://drive.google.com/file/d/sample65,0.89,U1234567890,Bobby
2025-01-23 15:00:11,2025-01-23,INV-2501-0066,Tax Invoice,โทเกียวมารีน,0105511056789,Other,1,service,ประกันภัยรถ,1,8500,8500,8500,0.00,8500.00,https://drive.google.com/file/d/sample66,0.96,U1234567890,Bobby
2025-01-24 09:20:00,2025-01-24,INV-2501-0067,Tax Invoice,เชลล์,0105533012345,Travel,1,product,น้ำมัน V-Power,28,41.04,1149.12,1149.12,80.44,1229.56,https://drive.google.com/file/d/sample67,0.97,U9876543210,Alice
2025-01-24 12:45:45,2025-01-24,INV-2501-0068,Receipt,ซิซซ์เลอร์,0105541067890,Food,1,product,สเต็กเซ็ต,1,499,499,499,34.93,533.93,https://drive.google.com/file/d/sample68,0.91,U1234567890,Bobby
2025-01-24 16:30:33,2025-01-24,INV-2501-0069,Tax Invoice,เดลต้า,0105535078901,Office,1,product,UPS สำรองไฟ,1,2500,2500,2500,175.00,2675.00,https://drive.google.com/file/d/sample69,0.95,U1234567890,Bobby
2025-01-25 08:15:22,2025-01-25,INV-2501-0070,Tax Invoice,บางจาก,0105528012345,Travel,1,product,น้ำมัน Gasohol E20,50,32.94,1647.00,1647.00,115.29,1762.29,https://drive.google.com/file/d/sample70,0.96,U9876543210,Alice
2025-01-25 11:00:11,2025-01-25,INV-2501-0071,Receipt,เทอเบอร์,0105555089012,Food,1,product,ซี่โครงหมู,1,289,289,289,20.23,309.23,https://drive.google.com/file/d/sample71,0.90,U1234567890,Bobby
2025-01-25 14:45:00,2025-01-25,INV-2501-0072,Tax Invoice,อะโดบี้,0105553012345,Office,1,service,Adobe Creative Cloud,1,1800,1800,1800,126.00,1926.00,https://drive.google.com/file/d/sample72,0.98,U1234567890,Bobby
2025-01-26 09:30:45,2025-01-26,INV-2501-0073,Tax Invoice,สปอติฟาย,0105557023456,Other,1,service,Spotify Premium,1,149,149,149,10.43,159.43,https://drive.google.com/file/d/sample73,0.96,U9876543210,Alice
2025-01-26 12:15:33,2025-01-26,INV-2501-0074,Receipt,เดอะ พิซซ่า คอมปะนี,0105543023456,Food,1,product,พิซซ่า ฮาวายเอี้ยน,1,299,299,299,20.93,319.93,https://drive.google.com/file/d/sample74,0.89,U1234567890,Bobby
2025-01-26 15:30:22,2025-01-26,INV-2501-0075,Tax Invoice,แคนวา,0105559034567,Marketing,1,service,Canva Pro,1,3000,3000,3000,210.00,3210.00,https://drive.google.com/file/d/sample75,0.97,U1234567890,Bobby
2025-01-27 08:45:11,2025-01-27,INV-2501-0076,Tax Invoice,ปตท.,0105530020022,Travel,1,product,น้ำมัน Diesel B10,55,30.94,1701.70,1701.70,119.12,1820.82,https://drive.google.com/file/d/sample76,0.97,U9876543210,Alice
2025-01-27 11:30:00,2025-01-27,INV-2501-0077,Receipt,โออิชิ,0105544045678,Food,1,product,บุฟเฟ่ต์อาหารญี่ปุ่น,2,699,1398,1398,97.86,1495.86,https://drive.google.com/file/d/sample77,0.92,U1234567890,Bobby
2025-01-27 14:15:45,2025-01-27,INV-2501-0078,Tax Invoice,ชี้ตี้วอค,0105558056789,Travel,1,service,ค่าแท็กซี่,1,320,320,320,22.40,342.40,https://drive.google.com/file/d/sample78,0.93,U1234567890,Bobby
2025-01-28 09:00:33,2025-01-28,INV-2501-0079,Tax Invoice,โบลท์,0105561067890,Travel,1,service,ค่าเดินทาง Bolt,1,145,145,145,10.15,155.15,https://drive.google.com/file/d/sample79,0.94,U9876543210,Alice
2025-01-28 12:45:22,2025-01-28,INV-2501-0080,Receipt,ชาบู ชาบู,1234512345123,Food,1,product,ชาบูบุฟเฟ่ต์,2,349,698,698,48.86,746.86,https://drive.google.com/file/d/sample80,0.91,U1234567890,Bobby
2025-01-28 16:00:11,2025-01-28,INV-2501-0081,Tax Invoice,เน็ตฟลิกซ์,0105557078901,Other,1,service,Netflix Premium,1,419,419,419,29.33,448.33,https://drive.google.com/file/d/sample81,0.97,U1234567890,Bobby
2025-01-29 08:30:00,2025-01-29,INV-2501-0082,Tax Invoice,การไฟฟ้า,0994000165456,Utilities,1,service,ค่าไฟฟ้า ม.ค.,1,3200,3200,3200,224.00,3424.00,https://drive.google.com/file/d/sample82,0.96,U9876543210,Alice
2025-01-29 11:15:45,2025-01-29,INV-2501-0083,Receipt,เคเอฟซี,0105536078901,Food,1,product,ไก่จิ๊กโก๋,1,79,79,79,5.53,84.53,https://drive.google.com/file/d/sample83,0.88,U1234567890,Bobby
2025-01-29 14:30:33,2025-01-29,INV-2501-0084,Tax Invoice,ซูม,0105562089012,Office,1,service,Zoom Pro,1,500,500,500,35.00,535.00,https://drive.google.com/file/d/sample84,0.97,U1234567890,Bobby
2025-01-30 09:45:22,2025-01-30,INV-2501-0085,Tax Invoice,เชลล์,0105533012345,Travel,1,product,น้ำมัน FuelSave,40,34.94,1397.60,1397.60,97.83,1495.43,https://drive.google.com/file/d/sample85,0.96,U9876543210,Alice
2025-01-30 12:30:11,2025-01-30,INV-2501-0086,Receipt,แมคโดนัลด์,0105537045678,Food,1,product,แมคสไปซี่,1,89,89,89,6.23,95.23,https://drive.google.com/file/d/sample86,0.89,U1234567890,Bobby
2025-01-30 15:45:00,2025-01-30,INV-2501-0087,Tax Invoice,สแล็ค,0105560012345,Office,1,service,Slack Business+,1,1200,1200,1200,84.00,1284.00,https://drive.google.com/file/d/sample87,0.98,U1234567890,Bobby
2025-01-31 08:15:45,2025-01-31,INV-2501-0088,Tax Invoice,ปตท.,0105530020022,Travel,1,product,น้ำมัน Premium,25,38.94,973.50,973.50,68.15,1041.65,https://drive.google.com/file/d/sample88,0.97,U9876543210,Alice
2025-01-31 11:00:33,2025-01-31,INV-2501-0089,Receipt,เบอร์เกอร์คิง,0105542056789,Food,1,product,ชุดวอปเปอร์ จูเนียร์,1,99,99,99,6.93,105.93,https://drive.google.com/file/d/sample89,0.88,U1234567890,Bobby
2025-01-31 14:30:22,2025-01-31,INV-2501-0090,Tax Invoice,กูเกิ้ล,0105552012345,Office,1,service,Google Workspace,1,1800,1800,1800,126.00,1926.00,https://drive.google.com/file/d/sample90,0.98,U1234567890,Bobby
2025-01-31 16:45:11,2025-01-31,INV-2501-0091,Tax Invoice,ทรู,0105539026543,Utilities,1,service,ค่าโทรศัพท์ ม.ค.,1,699,699,699,48.93,747.93,https://drive.google.com/file/d/sample91,0.97,U9876543210,Alice
2025-01-31 18:00:00,2025-01-31,INV-2501-0092,Receipt,สตาร์บัคส์,0105542098765,Food,1,product,ฟราปูชิโน,1,145,145,145,10.15,155.15,https://drive.google.com/file/d/sample92,0.90,U1234567890,Bobby
2025-01-31 19:15:45,2025-01-31,INV-2501-0093,Tax Invoice,ช้อปปี้,0105559034567,Office,1,product,ฮาร์ดดิสก์ SSD,1,1990,1990,1990,139.30,2129.30,https://drive.google.com/file/d/sample93,0.95,U1234567890,Bobby
2025-01-31 20:30:33,2025-01-31,INV-2501-0094,Tax Invoice,ลาซาด้า,0105556089012,Office,1,product,หูฟังบลูทูธ,1,890,890,890,62.30,952.30,https://drive.google.com/file/d/sample94,0.94,U9876543210,Alice
2025-01-31 21:45:22,2025-01-31,INV-2501-0095,Receipt,เซเว่น,0105556170046,Food,1,product,ขนมปัง,2,25,50,80,5.60,85.60,https://drive.google.com/file/d/sample95,0.87,U1234567890,Bobby
2025-01-31 21:45:22,2025-01-31,INV-2501-0095,Receipt,เซเว่น,0105556170046,Food,2,product,นม,1,30,30,80,5.60,85.60,https://drive.google.com/file/d/sample95,0.87,U1234567890,Bobby
2025-01-31 23:00:11,2025-01-31,INV-2501-0096,Tax Invoice,แกร็บ,0105560123456,Travel,1,service,GrabFood ค่าส่ง,1,45,45,45,3.15,48.15,https://drive.google.com/file/d/sample96,0.92,U1234567890,Bobby
2025-01-31 23:30:00,2025-01-31,INV-2501-0097,Tax Invoice,ฟู้ดแพนด้า,0105561034567,Travel,1,service,ค่าส่งอาหาร,1,39,39,39,2.73,41.73,https://drive.google.com/file/d/sample97,0.91,U9876543210,Alice
2025-01-31 23:45:45,2025-01-31,INV-2501-0098,Receipt,โดมิโน่,0105545045678,Food,1,product,พิซซ่า ดับเบิ้ล ชีส,1,399,399,399,27.93,426.93,https://drive.google.com/file/d/sample98,0.90,U1234567890,Bobby
2025-01-31 23:50:33,2025-01-31,INV-2501-0099,Tax Invoice,บิ๊กซี,0105538054321,Food,1,product,สินค้าอุปโภคบริโภค,1,1500,1500,1500,105.00,1605.00,https://drive.google.com/file/d/sample99,0.93,U1234567890,Bobby
2025-01-31 23:55:22,2025-01-31,INV-2501-0100,Receipt,เทสโก้,0105540056789,Food,1,product,ของใช้ในบ้าน,1,850,850,850,59.50,909.50,https://drive.google.com/file/d/sample100,0.92,U9876543210,Alice
